['wind,up,down', netlist 1-9(not found, cost)]
['0, 0, 0', (0, 22), (0, 41), (0, 56), (7, 242), (13, 275), (19, 327), (18, 444), (27, 364), (35, 414)]
['0, 0, 1', (0, 22), (0, 41), (0, 56), (7, 242), (13, 275), (19, 327), (18, 444), (27, 364), (35, 414)]
['0, 0, 2', (0, 22), (0, 41), (0, 56), (8, 226), (16, 230), (21, 334), (23, 370), (25, 375), (40, 356)]
['0, 0, 3', (0, 22), (0, 41), (0, 56), (10, 223), (17, 206), (24, 278), (30, 244), (33, 272), (42, 358)]
['0, 0, 4', (0, 22), (0, 41), (0, 56), (10, 223), (17, 206), (24, 278), (30, 244), (33, 272), (42, 358)]
['1, 0, 0', (0, 22), (0, 43), (0, 64), (3, 296), (11, 332), (16, 390), (22, 329), (21, 448), (28, 497)]
['1, 0, 1', (0, 22), (0, 41), (0, 58), (4, 287), (8, 339), (14, 387), (20, 416), (19, 492), (28, 570)]
['1, 0, 2', (0, 22), (0, 41), (0, 58), (4, 287), (8, 339), (14, 387), (20, 416), (19, 492), (28, 570)]
['1, 0, 3', (0, 22), (1, 33), (0, 58), (11, 201), (15, 222), (26, 288), (23, 336), (33, 284), (39, 367)]
['1, 0, 4', (0, 22), (1, 33), (0, 58), (11, 201), (15, 222), (26, 288), (23, 336), (33, 284), (39, 367)]
['1, 1, 1', (0, 22), (0, 41), (0, 56), (7, 242), (13, 275), (19, 327), (18, 444), (27, 364), (35, 414)]
['1, 1, 2', (0, 22), (0, 41), (0, 56), (7, 242), (13, 275), (19, 327), (18, 444), (27, 364), (35, 414)]
['1, 1, 3', (0, 22), (0, 41), (0, 56), (8, 226), (16, 230), (21, 334), (23, 370), (25, 375), (40, 356)]
['1, 1, 4', (0, 22), (0, 41), (0, 56), (10, 223), (17, 206), (24, 278), (30, 244), (33, 272), (42, 358)]
['2, 0, 0', (0, 22), (0, 43), (0, 64), (3, 296), (11, 332), (16, 390), (22, 329), (21, 448), (28, 497)]
['2, 0, 1', (0, 22), (0, 43), (0, 64), (3, 296), (11, 332), (16, 390), (22, 329), (21, 448), (28, 497)]
['2, 0, 2', (0, 22), (0, 41), (0, 58), (4, 287), (8, 339), (14, 387), (20, 416), (19, 492), (28, 570)]
